"service_name","service_category","sub_category","official_website","description","government_fee","recommended_service_charge","eligibility","application_process","required_documents","authorization_required","csc_required","grama_one_required","aadhaar_operator_required","last_verified_date","portal_status"
"Aadhaar Services","CENTRAL GOVERNMENT SERVICES","Identity Services","https://myaadhaar.uidai.gov.in/","Aadhaar download, update, and enrollment.","Rs. 50","Rs. 50","Indian Residents","Online","POI, POA","None","False","False","True","2024-06-16","Active"
"PAN Card Services","CENTRAL GOVERNMENT SERVICES","Identity Services","https://www.onlineservices.nsdl.com/","New PAN card application and correction.","Rs. 107","Rs. 100","Indian Citizens","Online","Aadhaar, Photo, Signature","None","False","False","False","2024-06-16","Active"
"Voter ID","CENTRAL GOVERNMENT SERVICES","Identity Services","https://voters.eci.gov.in/","New voter ID registration and correction.","Free","Rs. 50","Indian Citizens 18+","Online","Aadhaar, Passport size photo","None","False","False","False","2024-06-16","Active"
"Passport Seva","CENTRAL GOVERNMENT SERVICES","Identity Services","https://www.passportindia.gov.in/","Fresh passport and renewal.","Rs. 1500","Rs. 200","Indian Citizens","Online then PSK","Aadhaar, 10th Marks card, PAN","None","False","False","False","2024-06-16","Active"
"Income Tax e-Filing","CENTRAL GOVERNMENT SERVICES","Tax Services","https://www.incometax.gov.in/","ITR filing and PAN-Aadhaar link.","Free","Rs. 500","Taxpayers","Online","PAN, Aadhaar, Form 16, Bank Statements","None","False","False","False","2024-06-16","Active"
"TDS TRACES","CENTRAL GOVERNMENT SERVICES","Tax Services","https://www.tdscpc.gov.in/","TDS Return filing.","Free","Rs. 500","Tax Deductors","Online","TAN, PAN","None","False","False","False","2024-06-16","Active"
"EPFO Member Portal","PF & PENSION","Labour Services","https://unifiedportal-mem.epfindia.gov.in/","PF management.","Free","Rs. 100","Salaried employees","Online","UAN, Aadhaar, PAN, Bank Passbook","None","False","False","False","2024-06-16","Active"
"UAN Activation","PF & PENSION","EPFO Services","https://unifiedportal-mem.epfindia.gov.in/","Activate your UAN for PF access.","Free","Rs. 50","Salaried employees","Online","UAN, Aadhaar","None","False","False","False","2024-06-16","Active"
"PF Claims & Withdrawal","PF & PENSION","EPFO Services","https://unifiedportal-mem.epfindia.gov.in/","Apply for PF withdrawal or advances.","Free","Rs. 200","EPF Members","Online","UAN, Bank details, Cancelled Cheque","None","False","False","False","2024-06-16","Active"
"Pension Claims","PF & PENSION","EPFO Services","https://unifiedportal-mem.epfindia.gov.in/","Apply for monthly pension (Form 10D).","Free","Rs. 200","EPF Members 50+ years","Online","UAN, Bank details","None","False","False","False","2024-06-16","Active"
"ESIC Portal","CENTRAL GOVERNMENT SERVICES","Labour Services","https://www.esic.in/","Employee State Insurance services.","Free","Rs. 100","Insured Persons","Online","IP Number, Aadhaar","None","False","False","False","2024-06-16","Active"
"eShram Portal","CENTRAL GOVERNMENT SERVICES","Labour Services","https://eshram.gov.in/","Registration for unorganized sector workers.","Free","Rs. 50","Unorganized workers","Online","Aadhaar, Mobile, Bank details","CSC","True","False","False","2024-06-16","Active"
"PM Kisan Samman Nidhi","CENTRAL GOVERNMENT SERVICES","Farmer Services","https://pmkisan.gov.in/","Income support scheme for farmers.","Free","Rs. 50","Small/Marginal Farmers","Online","Aadhaar, Bank Account, Land Records","CSC","True","False","False","2024-06-16","Active"
